incident_id,well_id,well_name,incident_type,severity,depth_md_ft,depth_tvd_ft,formation,timestamp,npt_hours,estimated_cost_usd,description,root_cause,corrective_action
INC-2023-0101,WCR2023-001290,Elk Hills Pioneer-22B,Lost Circulation / Severe Mud Loss,4,7420,7210,Upper Monterey Shale Fractured Chert,2023-03-04T14:30:00Z,36.5,185000,Sudden total loss of returns (50 bbl/hr) encountered while drilling 8-1/2 inch section at 7420 ft MD through fractured chert. SPP dropped from 2800 psi to 1650 psi.,High-permeability natural fracture network intersected under 12.8 ppg mud overbalance.,"Pumped 40 bbl LCM pill (medium/coarse nutshells + mica + calcium carbonate). Allowed pill to soak 4 hours, restored partial returns (85%), resumed drilling with reduced flow rate."
INC-2023-0102,WCR2023-001290,Elk Hills Pioneer-22B,Differential Pipe Sticking,3,8650,8410,Stevens Sandstone,2023-03-18T03:15:00Z,18.0,92000,"Drill string became stuck on bottom during 15-minute connection wait. Maximum allowable overpull of 80,000 lbs failed to free string.",Stationary BHA against high-permeability Stevens sand under 850 psi differential hydrostatic overbalance.,Spotting 50 bbl pipe-freeing lubricant surfactant pill. Worked pipe with 60 klb tension and right-hand torque for 3.5 hours until free.
INC-2021-0205,WCR2021-009450,Midway-Sunset Deep-04,Gas Kick / Well Control Influx,5,4890,4720,Potter Sand Gas Cap,2021-06-02T22:45:00Z,42.0,240000,"Pit gain of 18 bbl detected over 6 minutes with active flow on connections. Annular BOP closed immediately; SIDPP recorded 340 psi, SICP recorded 480 psi.",Underbalanced pore pressure transition zone encountered without prior mud weight increase.,Executed Wait & Weight well control method. Circulated out gas influx via choke manifold while raising active mud weight from 10.4 ppg to 11.6 ppg.
INC-2024-0312,WCR2024-007823,Rio Bravo Deep-1,Twist-Off / Drill Collar Parting,4,10450,10210,Vedder Sandstone / Basal Siltstone,2024-05-12T09:10:00Z,64.0,310000,Sudden loss of string weight (45 klbs drop) and rapid torque reduction while rotary drilling at 10450 ft. Parting occurred at 6-1/2 inch drill collar connection.,Cyclic bending fatigue and micro-cracking in high dogleg severity section (4.8 deg/100ft).,Tripped out top drill string. Ran fishing assembly (overshot with 6-1/2 inch spiral grapple and bumper sub). Successfully engaged fish on first run and recovered BHA.
INC-2024-0313,WCR2024-007823,Rio Bravo Deep-1,H2S Influx / Toxic Gas Detection,4,11180,10950,Lower Vedder Dolomite,2024-05-29T18:20:00Z,14.5,75000,"Shaker house sensors triggered H2S alarm at 28 ppm. Drilling halted, crew donned SCBA breathing apparatus and ignited flare line.",Sour gas entrained in tight dolomite stringer pore space.,Treated active mud system with zinc carbonate H2S scavenger (4 ppb) and adjusted pH to 11.2 to neutralize sulfides before resuming circulation.
INC-2021-0401,WCR2021-008912,Kern River Horizon-01,Borehole Pack-Off & Cuttings Bedding,2,2410,2410,Kern River Sandstone,2021-03-24T11:00:00Z,8.5,38000,Standpipe pressure surged from 1400 psi to 2900 psi with zero flow across shale shaker. Rotary stalled at 40 RPM.,Inadequate hole cleaning in unconsolidated sandstone interval caused avalanche of cuttings above stabilizer.,Reciprocated pipe gently while pulsing flow. Pumped high-viscosity tandem sweep (20 bbl low-vis / 20 bbl high-vis pill) to flush cuttings bed.
INC-2024-0509,WCR2024-001099,Lost Hills Crest-14,Cement Channeling / Incomplete Shoe Isolation,3,3600,3580,Reef Ridge Shale,2024-01-26T04:40:00Z,26.0,115000,"Formation integrity test (FIT) at 9-5/8 inch casing shoe leaked off at 11.8 ppg EMW, failing the 13.5 ppg planned barrier requirement.",Mud channeling along narrow side of poorly centralized casing during primary cement job.,Ran cement bond log (CBL-VDL) confirming poor bond top. Performed squeeze cement job with 75 sacks Class G neat cement. Re-tested shoe successfully to 13.8 ppg EMW.
INC-2023-0618,WCR2023-005612,Belridge South-88,Tight Hole / Bit Balling in Reactive Clay,2,1950,1950,Belridge Diatomite Clay Member,2023-06-12T16:15:00Z,6.0,28000,Penetration rate dropped from 45 ft/hr to 4 ft/hr with erratic torque and 40 klb drag on back-reaming.,Smectite/illite rich reactive clay hydrated and balling around PDC cutters and bit face.,Added polyglycol shale inhibitor and ROP enhancer to water-based mud. Pumped detergent pill and reamed interval at 120 RPM.
INC-2007-0701,VOLVE-15-9-F-12,Volve 15/9-F-12,Severe Mud Losses in Carbonate Fractures,4,9120,8850,Tor / Ekofisk Chalk Formation,2007-12-05T08:10:00Z,32.0,380000,Instantaneous loss of 65 bbl/hr oil-based mud upon drilling into fractured chalk section.,Sub-seismic faults and open natural fracture system in high-stress chalk crest.,Pumped cross-linked polymer pill followed by 50 ppb blend of sized calcium carbonate. Squeezed 150 psi hesitancy squeeze; full circulation regained.
INC-2008-0810,VOLVE-15-9-F-14,Volve 15/9-F-14,MWD / RSS Downhole Telemetry Failure,2,11200,9810,Hugin Sandstone Reservoir,2008-05-19T20:00:00Z,16.5,195000,Rotary steerable system (RSS) and continuous inclination gamma telemetry lost during geosteering at 82 deg inclination.,Mud pulser poppet erosion from abrasive high-solids mud and excessive vibration.,Tripped out 124 stands to surface. Replaced MWD telemetry pulser insert and downhole battery module. Ran back in hole and re-established survey.
